"","rep.0..days.","rep.0..days."
"156",28440.9705667359,19053.4780517519
"157",28443.4874782708,19055.1642079461
"158",28446.0046125422,19056.8505133582
"159",28448.5219695699,19058.5369680016
"160",28451.0395493736,19060.2235718895
"161",28453.5573519729,19061.910325035
"162",28456.0753773877,19063.5972274514
"163",28458.5936256376,19065.2842791519
"164",28461.1120967423,19066.9714801497
"165",28463.6307907216,19068.658830458
"166",28466.1497075951,19070.34633009
"167",28468.6688473827,19072.0339790589
"168",28471.1882101041,19073.7217773779
"169",28473.7077957789,19075.4097250604
"170",28476.2276044269,19077.0978221194
"171",28478.7476360678,19078.7860685682
"172",28481.2678907214,19080.4744644201
"173",28483.7883684074,19082.1630096882
"174",28486.3090691456,19083.8517043857
"175",28488.8299929556,19085.540548526
"176",28491.3511398573,19087.2295421221
"177",28493.8725098703,19088.9186851874
"178",28496.3941030144,19090.6079777351
"179",28498.9159193094,19092.2974197784
"180",28501.437958775,19093.9870113305
"181",28503.9602214309,19095.6767524046
"182",28506.4827072969,19097.3666430141
"183",28509.0054163928,19099.056683172
"184",28511.5283487383,19100.7468728918
"185",28514.0515043532,19102.4372121865
"186",28516.5748832572,19104.1277010695
"187",28519.09848547,19105.8183395539
"188",28521.6223110116,19107.509127653
"189",28524.1463599015,19109.2000653801
"190",28526.6706321596,19110.8911527484
"191",28529.1951278057,19112.5823897711
"192",28531.7198468595,19114.2737764614
"193",28534.2447893407,19115.9653128327
"194",28536.7699552693,19117.6569988982
"195",28539.2953446648,19119.3488346711
"196",28541.8209575472,19121.0408201646
"197",28544.3467939361,19122.7329553921
"198",28546.8728538514,19124.4252403667
"199",28549.3991373129,19126.1176751017
"200",28551.9256443402,19127.8102596104
"201",28554.4523749533,19129.5029939061
"202",28556.9793291719,19131.1958780019
"203",28559.5065070158,19132.8889119111
"204",28562.0339085048,19134.582095647
"205",28564.5615336586,19136.2754292229
"206",28567.0893824971,19137.968912652
"207",28569.61745504,19139.6625459476
"208",28572.1457513072,19141.3563291229
"209",28574.6742713185,19143.0502621912
"210",28577.2030150936,19144.7443451658
"211",28579.7319826523,19146.4385780599
"212",28582.2611740146,19148.1329608868
"213",28584.7905892001,19149.8274936598
"214",28587.3202282286,19151.5221763921
"215",28589.8500911201,19153.217009097
"216",28592.3801778942,19154.9119917878
"217",28594.9104885709,19156.6071244778
"218",28597.4410231698,19158.3024071801
"219",28599.9717817109,19159.9978399082
"220",28602.502764214,19161.6934226753
"221",28605.0339706988,19163.3891554946
"222",28607.5654011852,19165.0850383794
"223",28610.0970556931,19166.7810713431
"224",28612.6289342422,19168.4772543989
"225",28615.1610368523,19170.17358756
"226",28617.6933635434,19171.8700708398
"227",28620.2259143352,19173.5667042516
"228",28622.7586892475,19175.2634878086
"229",28625.2916883003,19176.9604215241
"230",28627.8249115133,19178.6575054114
