"","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days."
"124",29936.9562090387,29938.835220181,29944.2865193601,29938.7120468992,29945.7511666295
"125",29937.9066036865,29939.7856744809,29945.2371467198,29939.6624972887,29946.7018404867
"126",29938.857028506,29940.7361589544,29946.1878042586,29940.6129778517,29947.6525445245
"127",28458.4808478243,28460.3600379286,28465.8118563037,31319.5712950217,33202.4003959053
"128",28459.3843060013,28461.2635557633,28466.7155472148,31320.5655829086,33203.4544570934
"129",28460.2877928599,28462.1671022816,28467.6192668149,31321.5599023607,33204.5085517442
"130",28461.1913084011,28463.0706774844,28468.5230151051,31322.554253379,33205.5626798589
"131",28462.0948526258,28463.9742813726,28469.4267920861,31323.5486359644,33206.6168414386
"132",28462.9984255349,28464.877913947,28470.3305977588,31324.5430501181,33207.6710364841
"133",28463.9020271294,28465.7815752087,28471.2344321243,31325.537495841,33208.7252649968
"134",28464.80565741,28466.6852651585,28472.1382951834,31326.531973134,33209.7795269775
"135",28465.7093163777,28467.5889837973,28473.042186937,31327.5264819983,33210.8338224274
"136",28466.6130040336,28468.492731126,28473.9461073861,31328.5210224348,33211.8881513476
"137",28467.5167203783,28469.3965071456,28474.8500565314,31329.5155944445,33212.942513739
"138",28468.4204654129,28470.3003118569,28475.7540343741,31330.5101980285,33213.9969096028
"139",28469.3242391383,28471.2041452609,28476.6580409149,31331.5048331876,33215.05133894
"140",28470.2280415554,28472.1080073585,28477.5620761548,31332.499499923,33216.1058017516
"141",28471.1318726651,28473.0118981506,28478.4661400946,31333.4941982356,33217.1602980388
"142",28472.0357324683,28473.9158176381,28479.3702327354,31334.4889281264,33218.2148278027
"143",28472.9396209659,28474.8197658219,28480.274354078,31335.4836895964,33219.2693910441
"144",28473.8435381588,28475.7237427029,28481.1785041233,31336.4784826467,33220.3239877644
"145",28474.747484048,28476.627748282,28482.0826828722,31337.4733072782,33221.3786179644
"146",28475.6514586343,28477.5317825602,28482.9868903257,31338.4681634919,33222.4332816452
"147",28476.5554619187,28478.4358455384,28483.8911264846,31339.4630512889,33223.487978808
"148",28477.459493902,28479.3399372174,28484.7953913499,31340.4579706701,33224.5427094538
"149",28478.3635545853,28480.2440575982,28485.6996849225,31341.4529216366,33225.5974735836
"150",28479.2676439693,28481.1482066817,28486.6040072032,31342.4479041893,33226.6522711985
"151",28480.171762055,28482.0523844688,28487.5083581931,31343.4429183293,33227.7071022996
"152",28481.0759088434,28482.9565909604,28488.4127378929,31344.4379640575,33228.7619668879
"153",28481.9800843353,28483.8608261574,28489.3171463037,31345.433041375,33229.8168649645
"154",28482.8842885316,28484.7650900607,28490.2215834263,31346.4281502827,33230.8717965305
"155",28483.7885214333,28485.6693826713,28491.1260492617,31347.4232907817,33231.9267615869
"156",28484.6927830412,28486.5737039901,28492.0305438107,31348.4184628729,33232.9817601347
"157",28485.5970733563,28487.4780540179,28492.9350670743,31349.4136665574,33234.0367921752
"158",28486.5013923795,28488.3824327558,28493.8396190534,31350.4089018362,33235.0918577092
"159",28487.4057401117,28489.2868402045,28494.7441997489,31351.4041687103,33236.1469567379
"160",28488.3101165538,28490.191276365,28495.6488091616,31352.3994671806,33237.2020892624
"161",28489.2145217067,28491.0957412382,28496.5534472926,31353.3947972482,33238.2572552836
"162",28490.1189555713,28492.000234825,28497.4581141427,31354.3901589141,33239.3124548027
"163",28491.0234181486,28492.9047571264,28498.3628097129,31355.3855521793,33240.3676878208
"164",28491.9279094395,28493.8093081433,28499.267534004,31356.3809770447,33241.4229543388
"165",28492.8324294448,28494.7138878765,28500.1722870169,31357.3764335115,33242.4782543579
"166",28493.7369781655,28495.6184963269,28501.0770687526,31358.3719215805,33243.5335878792
"167",28494.6415556024,28496.5231334956,28501.9818792121,31359.3674412529,33244.5889549036
"168",28495.5461617566,28497.4277993833,28502.8867183961,31360.3629925295,33245.6443554322
"169",28496.4507966289,28498.3324939911,28503.7915863056,31361.3585754115,33246.6997894662
"170",28497.3554602202,28499.2372173198,28504.6964829416,31362.3541898997,33247.7552570065
"171",28498.2601525314,28500.1419693703,28505.6014083048,31363.3498359953,33248.8107580543
"172",28499.1648735635,28501.0467501435,28506.5063623964,31364.3455136992,33249.8662926106
"173",28500.0696233174,28501.9515596404,28507.411345217,31365.3412230124,33250.9218606764
"174",28500.9744017939,28502.8563978619,28508.3163567678,31366.3369639359,33251.9774622529
"175",28501.879208994,28503.7612648089,28509.2213970495,31367.3327364708,33253.033097341
"176",28502.7840449186,28504.6661604822,28510.1264660632,31368.3285406179,33254.088765942
"177",28503.6889095686,28505.5710848829,28511.0315638096,31369.3243763784,33255.1444680567
"178",28504.5938029449,28506.4760380117,28511.9366902897,31370.3202437533,33256.2002036863
"179",28505.4987250484,28507.3810198697,28512.8418455045,31371.3161427435,33257.2559728319
"180",28506.4036758801,28508.2860304577,28513.7470294548,31372.31207335,33258.3117754945
"181",28507.3086554409,28509.1910697767,28514.6522421416,31373.3080355739,33259.3676116751
"182",28508.2136637316,28510.0961378275,28515.5574835658,31374.3040294161,33260.4234813749
"183",28509.1187007532,28511.0012346112,28516.4627537282,31375.3000548777,33261.479384595
"184",28510.0237665065,28511.9063601285,28517.3680526298,31376.2961119596,33262.5353213362
"185",28510.9288609926,28512.8115143804,28518.2733802715,31377.2922006629,33263.5912915998
"186",28511.8339842123,28513.7166973678,28519.1787366543,31378.2883209886,33264.6472953869
"187",28512.7391361665,28514.6219090916,28520.0841217789,31379.2844729376,33265.7033326983
"188",28513.6443168562,28515.5271495528,28520.9895356464,31380.280656511,33266.7594035353
"189",28514.5495262822,28516.4324187522,28521.8949782577,31381.2768717098,33267.8155078989
"190",28515.4547644455,28517.3377166908,28522.8004496136,31382.2731185349,33268.8716457902
"191",28516.3600313469,28518.2430433695,28523.7059497151,31383.2693969875,33269.9278172101
"192",28517.2653269874,28519.1483987891,28524.6114785631,31384.2657070684,33270.9840221599
"193",28518.170651368,28520.0537829507,28525.5170361585,31385.2620487787,33272.0402606405
"194",28519.0760044894,28520.959195855,28526.4226225022,31386.2584221195,33273.096532653
"195",28519.9813863527,28521.8646375031,28527.3282375952,31387.2548270916,33274.1528381985
"196",28520.8867969587,28522.7701078958,28528.2338814383,31388.2512636961,33275.209177278
"197",28521.7922363084,28523.6756070341,28529.1395540324,31389.2477319341,33276.2655498926
"198",28522.6977044026,28524.5811349188,28530.0452553785,31390.2442318064,33277.3219560434
"199",28523.6032012423,28525.4866915509,28530.9509854775,31391.2407633142,33278.3783957315
"200",28524.5087268284,28526.3922769312,28531.8567443303,31392.2373264584,33279.4348689578
"201",28525.4142811618,28527.2978910608,28532.7625319378,31393.2339212401,33280.4913757235
"202",28526.3198642434,28528.2035339405,28533.6683483009,31394.2305476601,33281.5479160296
"203",28527.2254760741,28529.1092055712,28534.5741934205,31395.2272057196,33282.6044898773
"204",28528.1311166549,28530.0149059539,28535.4800672976,31396.2238954195,33283.6610972674
"205",28529.0367859866,28530.9206350894,28536.385969933,31397.2206167609,33284.7177382013
"206",28529.9424840702,28531.8263929786,28537.2919013277,31398.2173697448,33285.7744126798
"207",28530.8482109065,28532.7321796226,28538.1978614826,31399.2141543721,33286.831120704
"208",28531.7539664966,28533.6379950221,28539.1038503986,31400.2109706438,33287.8878622751
"209",28532.6597508412,28534.5438391781,28540.0098680766,31401.207818561,33288.9446373941
"210",28533.5655639414,28535.4497120916,28540.9159145175,31402.2046981247,33290.001446062
"211",28534.471405798,28536.3556137633,28541.8219897223,31403.2016093358,33291.0582882799
"212",28535.3772764119,28537.2615441943,28542.7280936918,31404.1985521955,33292.1151640489
"213",28536.2831757841,28538.1675033855,28543.6342264269,31405.1955267046,33293.17207337
"214",28537.1891039154,28539.0734913377,28544.5403879287,31406.1925328642,33294.2290162444
"215",28538.0950608069,28539.9795080519,28545.4465781979,31407.1895706753,33295.285992673
"216",28539.0010464593,28540.885553529,28546.3527972356,31408.1866401388,33296.343002657
"217",28539.9070608736,28541.7916277699,28547.2590450425,31409.1837412559,33297.4000461973
"218",28540.8131040508,28542.6977307755,28548.1653216197,31410.1808740275,33298.4571232952
"219",28541.7191759916,28543.6038625468,28549.071626968,31411.1780384546,33299.5142339516
"220",28542.6252766972,28544.5100230846,28549.9779610884,31412.1752345382,33300.5713781675
"221",28543.5314061682,28545.4162123898,28550.8843239817,31413.1724622794,33301.6285559442
"222",28544.4375644058,28546.3224304634,28551.7907156489,31414.169721679,33302.6857672826
"223",28545.3437514107,28547.2286773064,28552.6971360909,31415.1670127382,33303.7430121837
"224",28546.249967184,28548.1349529195,28553.6035853087,31416.164335458,33304.8002906488
"225",28547.1562117264,28549.0412573037,28554.510063303,31417.1616898392,33305.8576026787
"226",28548.062485039,28549.9475904599,28555.4165700749,31418.1590758831,33306.9149482747
"227",28548.9687871226,28550.8539523891,28556.3231056252,31419.1564935904,33307.9723274377
"228",28549.8751179782,28551.7603430921,28557.2296699549,31420.1539429624,33309.0297401689
"229",28550.7814776066,28552.6667625699,28558.1362630649,31421.1514239999,33310.0871864692
"230",28551.6878660088,28553.5732108234,28559.0428849561,31422.1489367039,33311.1446663398
"231",28552.5942831857,28554.4796878535,28559.9495356294,31423.1464810755,33312.2021797817
"232",28553.5007291382,28555.386193661,28560.8562150856,31424.1440571158,33313.259726796
"233",28554.4072038672,28556.292728247,28561.7629233259,31425.1416648255,33314.3173073838
"234",28555.3137073737,28557.1992916123,28562.6696603509,31426.1393042059,33315.3749215461
"235",28556.2202396585,28558.1058837579,28563.5764261617,31427.1369752579,33316.4325692839
"236",28557.1268007226,28559.0125046846,28564.4832207592,31428.1346779825,33317.4902505985
"237",28558.0333905668,28559.9191543934,28565.3900441443,31429.1324123807,33318.5479654907
"238",28558.9400091921,28560.8258328852,28566.2968963179,31430.1301784534,33319.6057139617
"239",28559.8466565994,28561.7325401609,28567.2037772809,31431.1279762018,33320.6634960126
"240",28560.7533327897,28562.6392762214,28568.1106870342,31432.1258056269,33321.7213116444
"241",28561.6600377637,28563.5460410677,28569.0176255788,31433.1236667295,33322.7791608581
"242",28562.5667715225,28564.4528347005,28569.9245929155,31434.1215595108,33323.8370436549
"243",28563.473534067,28565.359657121,28570.8315890453,31435.1194839717,33324.8949600359
"244",28564.380325398,28566.2665083299,28571.7386139691,31436.1174401133,33325.952910002
"245",28565.2871455165,28567.1733883281,28572.6456676878,31437.1154279365,33327.0108935543
"246",28566.1939944234,28568.0802971167,28573.5527502023,31438.1134474424,33328.068910694
"247",28567.1008721197,28568.9872346965,28574.4598615135,31439.111498632,33329.126961422
"248",28568.0077786061,28569.8942010685,28575.3670016224,31440.1095815062,33330.1850457395
"249",28568.9147138837,28570.8011962334,28576.2741705298,31441.107696066,33331.2431636475
"250",28569.8216779533,28571.7082201923,28577.1813682367,31442.1058423126,33332.3013151471
"251",28570.7286708159,28572.6152729461,28578.088594744,31443.1040202469,33333.3595002393
"252",28571.6356924724,28573.5223544957,28578.9958500526,31444.1022298698,33334.4177189253
"253",27091.2161072499,28816.5287010643,27098.5764984895,29963.7738355086,31854.1493355321
"254",27092.076159508,28817.4435260202,27099.4367844146,29964.7250815231,31855.1605944198
"255",27092.9362390698,28818.3583800186,27100.2970976507,29965.6763577363,31856.1718854115
"256",27093.7963459362,28819.2732630605,27101.1574381988,29966.6276641493,31857.1832085081
"257",27094.6564801079,28820.1881751467,27102.0178060598,29967.5790007629,31858.1945637108
"258",27095.516641586,28821.1031162783,27102.8782012344,29968.5303675782,31859.2059510205
"259",27096.3768303712,28822.018086456,27103.7386237236,29969.4817645961,31860.2173704382
"260",27097.2370464644,28822.9330856809,27104.5990735283,29970.4331918176,31861.228821965
"261",27098.0972898665,28823.8481139538,27105.4595506492,29971.3846492435,31862.2403056018
"262",27098.9575605783,28824.7631712758,27106.3200550874,29972.336136875,31863.2518213498
"263",27099.8178586008,28825.6782576476,27107.1805868435,29973.2876547129,31864.2633692099
"264",27100.6781839347,28826.5933730702,27108.0411459186,29974.2392027582,31865.2749491831
"265",27101.538536581,28827.5085175446,27108.9017323134,29975.1907810118,31866.2865612705
"266",27102.3989165405,28828.4236910716,27109.7623460289,29976.1423894747,31867.298205473
"267",27103.2593238141,28829.3388936523,27110.6229870658,29977.094028148,31868.3098817918
"268",27104.1197584027,28830.2541252874,27111.4836554252,29978.0456970324,31869.3215902278
"269",27104.980220307,28831.169385978,27112.3443511077,29978.997396129,31870.333330782
"270",27105.840709528,28832.0846757249,27113.2050741144,29979.9491254388,31871.3451034555
"271",27106.7012260666,28832.9999945291,27114.0658244461,29980.9008849627,31872.3569082492
"272",27107.5617699236,28833.9153423916,27114.9266021036,29981.8526747017,31873.3687451643
"273",27108.4223410999,28834.8307193131,27115.7874070878,29982.8044946567,31874.3806142017
"274",27109.2829395964,28835.7461252947,27116.6482393995,29983.7563448287,31875.3925153624
"275",27110.1435654139,28836.6615603373,27117.5090990398,29984.7082252186,31876.4044486474
"276",27111.0042185532,28837.5770244417,27118.3699860093,29985.6601358274,31877.4164140579
"277",27111.8648990153,28838.492517609,27119.230900309,29986.6120766561,31878.4284115947
"278",27112.7256068011,28839.40803984,27120.0918419398,29987.5640477056,31879.440441259
"279",27113.5863419113,28840.3235911356,27120.9528109024,29988.5160489769,31880.4525030516
"280",27114.4471043469,28841.2391714969,27121.8138071979,29989.468080471,31881.4645969738
"281",27115.3078941087,28842.1547809246,27122.674830827,29990.4201421887,31882.4767230264
"282",27116.1687111976,28843.0704194198,27123.5358817906,29991.3722341311,31883.4888812105
"283",27117.0295556145,28843.9860869833,27124.3969600896,29992.3243562992,31884.5010715271
"284",27117.8904273602,28844.9017836161,27125.2580657249,29993.2765086938,31885.5132939773
"285",27118.7513264356,28845.8175093191,27126.1191986973,29994.2286913159,31886.525548562
"286",27119.6122528415,28846.7332640932,27126.9803590077,29995.1809041666,31887.5378352823
"287",27120.4732065789,28847.6490479393,27127.8415466569,29996.1331472467,31888.5501541392
"288",27121.3341876486,28848.5648608584,27128.7027616458,29997.0854205572,31889.5625051337
"289",27122.1951960514,28849.4807028514,27129.5640039754,29998.0377240991,31890.5748882669
"290",27123.0562317883,28850.3965739193,27130.4252736464,29998.9900578733,31891.5873035397
