"","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days."
"145",39422.1963278462,29444.4550586339,27940.4007772641,23322.0672552638,21595.0940607997
"146",40822.9979221669,30172.2836105099,28460.9372713909,23376.4394981838,21426.6577396682
"147",40646.2721325606,29928.9678792615,28403.4960906455,23561.7037277876,21121.8287259195
"148",40977.8603878386,30115.1917926296,28625.1605822086,23100.4604488791,21612.2302960918
"149",41248.5891973809,29580.2019504895,28759.0045856941,22847.6918448495,21839.185935583
"150",40553.9504250607,29635.2875351399,28806.4531422128,23008.966304382,21795.6970166195
"151",41378.1277677828,29142.6518091252,28287.7191635607,22829.0806098954,21623.1078693891
"152",41451.2828220602,29201.4335989145,27873.3521985662,22880.5358767787,21418.9450974875
"153",41384.9631201351,29165.5789709742,27824.1187982123,23392.0207644527,21557.6501045622
"154",40763.6600203543,29388.4664682382,28077.925624792,23144.0372224916,21814.8287601606
"155",41055.0206042685,28984.2321398655,28280.0524432249,22986.9729426298,21988.8392037682
"156",41371.1483559401,28885.9576110647,28552.2536903376,23659.513819556,21866.0246430186
"157",41972.625653395,28513.6987050772,28662.473993852,23476.5359058446,21853.9003452161
"158",42133.3570500607,28169.1069232119,28405.6440978311,23240.5451093183,21571.1591704959
"159",42508.18170072,28248.261576755,28496.4319266483,23970.5999806949,21811.5087837899
"160",41930.1773551497,27778.4895108529,28831.7366148929,23477.1448293409,21750.7781179352
"161",42647.1755039271,26857.6241274707,29270.5661776257,22458.2153707315,21821.8270505786
"162",42349.7985096353,27037.7747449708,28973.0615486202,22699.9209078317,22093.9359309371
"163",42645.0941114608,26054.3547420892,28740.0987826359,22535.5327236269,22540.5467814494
"164",43697.3612033341,25006.7673332664,28865.3388948573,22184.2265045472,22859.37425659
"165",43854.6039232587,25118.8358718024,28335.8171115436,21793.1528233285,22790.0659396222
"166",42490.3045305965,25188.5112997046,28363.5945621534,21562.6605109171,22595.7194396728
"167",42284.1793900374,25301.7979040778,28194.2831485022,21256.2476704064,22344.3878815857
"168",41817.8663917496,25854.6389502563,28025.6637289745,21891.8003322223,22076.5887203487
"169",42350.3177879074,25823.2977575293,27987.3931297345,22118.9756844075,22728.4546553005
"170",41222.4748912967,25921.861394113,28038.0841397929,21832.0791363267,22773.0910219481
"171",41747.6045100154,26278.3127061163,27765.3545757147,22634.7471640622,22511.8163374179
"172",41491.2978287165,25995.7594000863,27602.1696902276,22435.4854281633,21976.8945274102
"173",40836.9458131064,25694.7822215744,27353.3162373918,22935.4346652642,21449.7136778578
"174",40930.636640149,25548.242508588,28184.8343952168,22611.8221571415,21829.8969844541
"175",41224.9322012272,25451.7276028435,27972.8878066577,22184.5933598418,21527.8428248384
"176",41258.2619833156,24896.2069623763,27539.975447861,22369.3449105131,21641.0533056466
"177",41681.2764334055,25249.7350889714,27910.1120007313,22877.9050092319,21395.6554275071
"178",41638.0715847162,24639.8640843234,27906.4746567595,23093.6078437637,21367.4732180848
"179",40953.2743802215,24712.3823078392,28096.5880825196,23525.0437114023,20935.5465239294
"180",40292.1739151885,24503.2205648752,28074.1065822955,24012.3315440007,21074.2324076628
"181",41791.9018942828,24245.4481098881,27915.0391734489,23951.4927210018,21000.8074881805
"182",43077.4734271674,24688.3378712992,27792.3508888197,24071.1110684823,21416.1686432229
"183",43088.832035548,25138.7418982674,27442.5319698324,24063.6591152111,21555.7723373808
"184",42789.0780681476,25193.2918934014,27291.5540211757,24566.6844229683,21468.4885669104
"185",43365.2093845905,25400.2280497975,26703.2976325801,24006.6430073268,21536.3332668595
"186",41850.5611870142,26101.0664841957,27314.6778104817,24468.710127101,20944.975548924
"187",42770.5498289419,26890.7257150456,27391.529210097,24575.8044204135,21122.1630360186
"188",42763.2425173112,26606.3031977484,27391.6921563961,24695.7382762109,21469.420676154
"189",44261.7768097821,26379.7585509263,27081.2040243692,24763.0864668496,21407.5028809064
"190",45163.2373108607,26267.5894049071,27418.0711726162,24754.4197716936,21347.9419969324
"191",45411.6494013875,25657.2258996301,27637.1366339176,24369.6201942475,21098.8598393807
"192",44638.3958544162,26193.593180906,28769.6228098426,24420.6025552607,21185.5271694064
"193",44177.0518328062,25329.2471881896,28742.5308436866,24931.2964404449,22041.4382290619
"194",44364.2887104817,24641.9308887889,29393.3802851428,24289.6535773356,22249.1891129317
"195",45049.6784484653,24283.9506611623,29196.5819931315,24306.6002675766,22453.3422312173
"196",45114.3900879156,24173.5889756016,28652.8343730247,24758.8653210544,22772.9049897142
"197",44469.1484004817,24314.4011428559,28090.9897719212,24782.3107611788,22324.5195036166
"198",44032.3999161445,24008.5511767463,28272.8680894739,24535.1553112735,21990.5366212665
"199",44733.7363000956,23761.2446467095,28872.018555874,24787.9672567995,22196.6319105044
"200",45608.0792283095,24002.4360277481,28692.8019851072,24536.5833552264,22713.2037207005
"201",45799.2058059622,23835.7693580591,28994.2591095646,24006.5697747062,22677.5366607534
"202",45514.334932668,23775.3429240931,29130.7128956906,24335.4875929712,22360.4192019302
"203",45309.8826721582,23624.3356342483,29145.3003290959,24578.0121901243,21994.7079786876
"204",44885.082846802,23554.6152311653,30460.9978026849,24167.32617016,22249.8845507929
"205",44917.5397140445,23033.8990683015,30173.1884381368,24526.9939795715,22521.9373846674
"206",43804.9270342031,23070.2810459314,29373.1396977972,24969.2015580877,22671.3238176101
"207",43781.7113073572,23441.5748155941,30027.5461044075,24842.6297587083,22319.7054412731
"208",43858.3254928051,23028.2794367305,30583.2081288582,25277.9985820992,22061.5858635034
"209",42963.914743365,23146.8418215166,30952.413779349,25578.7178479311,22150.5332073962
"210",44010.6508188382,23696.7630328969,30827.6181530232,25241.0571676696,22217.9102090506
"211",43454.5269102354,23991.1916919611,31145.6088169083,25139.1986390501,21922.3030190908
"212",43913.868236741,23748.8181886784,30565.8020776855,25116.1681285969,21420.1082638365
"213",43737.1240524726,23968.4162792604,31085.1017055609,24744.6027982304,21385.6752976505
"214",44792.4301406943,23732.4138889537,31530.6839554862,24517.7763452223,21535.8987894933
"215",44393.0003000941,24163.6738502186,32356.3878307251,24404.356398904,21373.5348244125
"216",45120.1664895762,23734.1996899862,31959.6748896196,24031.6832005826,21125.3018370483
"217",45098.6688021183,24052.3179430448,31321.350133901,24445.6099259461,21488.2825788653
"218",44699.9733618294,23584.5799957748,32162.8926830023,24800.4294949015,22038.1226078564
"219",44541.4012687886,23738.971538966,33098.5024916323,24829.700436219,22182.8722488409
"220",44768.1759761466,24046.1033739928,33409.0344938892,24730.3464276479,22234.0663824039
"221",44046.4506437919,23913.8373254548,33688.9095253914,24504.707216274,22886.432146674
"222",44679.5083091021,23354.1017664193,33523.3943241206,24227.4146128428,23065.8145043941
"223",45568.5497348977,23647.6812633313,32885.120961202,24238.8140501609,23135.0255895033
"224",46573.5135356069,23974.6866809333,32335.5741864628,23971.1821933277,23912.5776508779
"225",47672.1869892133,24666.3902455444,32037.7433451131,24209.043191475,23397.0923240762
"226",46904.2200476249,23903.7299692736,31526.2501368593,24520.1124873463,23533.9424817964
"227",46946.8370434079,23673.5474252628,31803.3852567443,24350.872608474,23985.5333203686
"228",47775.8433370901,23716.1466333445,31272.2607280877,23553.0149578935,23485.7765260328
"229",47391.7889212211,23306.5559732993,31269.6338599018,23838.3767784164,23256.0216886536
"230",46447.8571010356,23674.8130003069,31451.1966414436,23706.4178699377,23419.4993104863
"231",47066.8529357015,23615.4249533797,31588.7445677549,23504.2015322647,23564.935082743
"232",46587.6876836923,23561.6378968085,31691.3921308989,23808.4318964085,23171.6502772634
"233",46119.5531400964,23439.8404384343,31297.1506852019,24071.9073870733,23374.0560575609
"234",46553.1139138071,23087.0376212529,31789.0510886237,24391.1462747803,23371.2965687342
"235",46538.5904144444,23322.8477943004,31594.1214596252,24785.4154732579,23554.3361036071
"236",45449.8304454097,23230.0537788309,31923.7406273214,24897.042715451,23309.44072676
"237",44535.2082694693,23154.1203857742,32111.2535307408,24356.1640351939,23397.7341731744
"238",44906.5611315204,23217.7474476743,31899.1478769698,23945.7108209799,23129.576334458
"239",45139.7177334616,23532.1016620084,32484.7111472068,23643.3003146698,22824.6148483618
"240",44934.0038712344,23573.6610159741,32880.2766549823,23399.7734457314,22492.0258633666
"241",43401.7365151925,23568.5322112059,32532.0809667748,24297.1395349981,22286.1618432048
"242",44407.7375793216,24420.8765397921,32442.9498976856,24381.0010353228,22105.2300968685
"243",44512.8140719424,24464.1016866359,32364.3196818232,24580.8486860357,22586.3348339786
"244",44428.9164291668,24533.8694438848,31678.9482428099,24206.8808417519,22345.4587503836
"245",44538.3051242301,23988.3788436457,32212.1202502139,23403.7866034717,22213.7578022343
"246",45384.7218760332,24023.3988435756,32712.6448539493,23561.0390263068,22569.3604789734
"247",45141.9035249794,23702.2327240391,32431.158985307,23065.8865931835,22150.8653761238
"248",44460.2413174815,23823.9543744874,32845.5277160301,22990.2199453339,22668.7079603745
"249",44680.3475185084,23587.3801819813,32935.9023613914,23051.354675814,22669.0130412851
"250",44432.782725759,22837.4767329106,33961.1631912955,23198.4687892324,22454.488853373
"251",45123.0548904868,22752.9618827876,34209.2737480977,22760.8495304163,22307.0003305477
"252",46238.0427953755,22705.804984204,34318.8209015749,22786.0367887692,21645.3514577219
"253",47273.6555382052,22404.3789559955,34127.4451757655,22517.2202268032,21706.7579943357
"254",48199.9432738967,22502.7250948663,33796.6867780754,22073.9568645009,21754.2046755522
"255",48666.7521472121,22411.817770526,33733.8147077747,21983.0729516973,21856.0625967418
"256",47938.1559475791,22617.5125579568,33057.0466465584,22105.2222775058,21589.1973351214
"257",48088.9493811532,22437.8599290431,33709.2090422241,21685.3879312614,21714.3543994985
"258",47248.3519887653,22256.6292904791,33703.1851504142,21767.2822342235,22283.5596157002
"259",47013.9762594229,21812.042035736,33099.9164857939,21521.0972854679,21726.4963470047
"260",46252.2623294201,21909.3722772414,32354.7189189955,21295.0799597027,21521.9302399767
"261",46303.0283321981,21901.6700497852,32412.3379687163,21400.3554012907,21676.8003217661
"262",45767.8165614139,22083.9396464188,32047.0655562433,21006.0643301387,22004.6367765323
"263",45962.8851454679,22648.8798410181,32165.6929766863,20892.0271385064,21698.9436795129
"264",46070.2712637876,22627.4064787497,32001.3287575142,20445.1985544595,21817.6137979112
"265",45852.4057844523,23202.7549639745,32626.6325392445,20305.4483304842,21243.6802347916
"266",46096.04761593,22909.775551824,33273.8723862842,20540.5982012926,20934.7889799954
"267",46294.8096467708,23061.6582556002,32945.1575496093,20280.5225766665,21376.8146214267
"268",47450.7040391745,23600.1073162569,33030.079320069,20732.3997460176,21621.1114817076
"269",48357.434849866,23547.0999154582,32997.6993474737,20809.0207615539,21503.4816218112
"270",47289.1294352118,23725.7629760426,33166.2066986064,20979.8037077724,21482.482710886
"271",46588.8173042035,23168.8795027066,32886.5089131289,21205.9687877043,21565.0517964751
"272",46679.5794545262,23321.2287534313,33629.985507466,21051.972351641,22028.2869268019
"273",47715.6342579284,23251.6583447802,34788.6181009596,21430.2439507156,21922.0984183444
"274",47936.5907319826,23923.8240010837,35262.2662586939,21541.5105553613,21799.6563333196
"275",48388.5114184338,23957.0590541254,35518.3566648084,21365.7293747733,22097.4754891141
"276",48815.0209385368,24050.1407947692,35933.8776390107,20975.8976936655,22025.2008886316
"277",48769.6090372122,23523.2093568525,35735.3826457918,20616.2295395191,21824.3692188178
"278",49916.7375430527,23798.7521701496,35207.3388088762,20516.0965494277,21762.4884692947
"279",49594.0061878969,23862.7559841596,35626.4211073581,20376.6013636321,21947.3456674282
"280",49537.5834016458,24006.7965860948,34993.8561746439,20085.329439734,21617.8697529269
"281",50685.4815548389,24066.9174506194,35241.0817066342,19823.0654823775,22186.0831291911
"282",51555.613821169,23662.5045696162,35322.4006006459,19699.1574193035,22189.2998652286
"283",51118.153918956,23545.4012396104,35566.4439382165,19588.9383663285,22451.7210602093
"284",50134.587338998,23623.2296415095,34913.8919656197,19465.595464203,22087.9453088703
"285",49628.6725786747,23935.4583847011,34566.1389397238,19513.7013396472,22039.5603786532
"286",48370.1486992135,23925.912089701,34997.3125780308,19356.5000754828,22221.366824252
"287",47804.8987410017,23866.2895278181,34883.947158696,19297.8604640649,22466.9784900692
"288",47654.131528619,23837.6955862149,35319.2364050639,19139.0036585079,22650.8400833229
"289",47904.4096264352,23570.407384379,34688.2582082781,18654.9784776884,22303.4884380971
"290",47082.4736038341,23822.030376195,35616.1166370915,18297.2818813439,22389.1092344064
"291",45803.0602184788,23855.6744575014,35770.2738142101,18693.2997398408,22108.7020802386
"292",45342.9384622154,23178.9085924776,35705.4290971515,19222.3779687955,21860.7792008491
"293",45177.4124843016,23151.8248171064,36923.6757298677,19356.1451991272,21525.15451676
"294",46171.9880116198,23052.6014223556,37227.0240322499,19203.1468242304,21538.9497718162
"295",45962.0742242621,22820.7229865879,37361.6270559227,19171.0424369626,21882.5085556073
"296",45332.4632221219,22507.9077333861,37434.684748467,19234.7975575623,20995.485077213
"297",45568.4390955606,23005.3219885233,37229.6413228605,19486.4477849923,20807.3940380896
"298",44917.5755394968,22512.4092963,37233.368635126,19724.8664650414,20791.3304658766
"299",44168.007843121,22330.0288664724,36911.289707317,19875.3125499758,20610.792293478
"300",44071.3913966062,22008.6759105146,36733.1356382714,19339.9526617272,20508.7653218716
"301",44118.9047269887,21196.1981843881,37607.4378200265,19374.955196107,20999.5111459767
"302",44360.1983165279,21467.0781518315,37727.5421766609,19494.1240327795,20218.3976080774
"303",44140.4064392763,21084.9629013947,37206.5190091208,19547.6017197854,19971.2645180518
"304",44026.8649359585,20882.8883086821,36926.6287358235,19380.300918204,19816.2059545118
"305",45245.8426362213,20779.3057955036,37837.1522016618,19407.6780467387,19858.4161919045
"306",45680.8241128382,20506.4349507228,39661.8802252781,19408.3354988714,19849.4185625995
"307",44512.1964886657,20518.1904808818,39476.3301204097,19871.2272617159,20039.7246127833
"308",45780.4521541027,20662.5602885161,38914.1871502603,19585.1372780041,20018.8013099705
"309",46237.8610717195,20538.6783470399,38783.3218333753,19640.4670973109,19879.1823640943
"310",45530.3817896519,20121.9433849744,38620.8154474864,19648.0879785167,19558.2221192693
"311",44959.2980873508,20190.8741447565,38843.5015017799,19816.7280630022,20099.5922416401
"312",45561.4630161754,19954.8354476314,38244.4626806616,19608.7950702706,20470.2624833203
"313",45714.6910561129,19958.9106276464,37201.6331813915,19679.9655870925,20608.1407245807
"314",45620.9350150992,19550.607384086,37415.5657250071,19719.8276547657,20678.5268169224
"315",45437.9715170431,19478.3485337734,36638.7418982397,19872.3436034384,21159.1793145964
"316",44904.1606741788,19539.1816380872,37064.1029745514,19403.1067232955,21595.7793290492
"317",45876.2655800068,19673.8527975214,37179.6819139634,19677.4217905413,21399.6491981779
"318",46907.0725263308,19844.0360054162,37548.6818243055,20232.310811851,21117.7556322771
"319",46453.7806334275,19848.5088101672,37436.5045996371,19963.2494372088,21302.1285716573
"320",45636.4071459502,19720.9496955229,37614.1219257718,19546.1585917778,21372.126926042
"321",45425.9004431012,19986.9628134409,38010.7392603172,19370.9587872773,21476.8093643376
"322",47406.1390045219,19893.6135873272,38194.6293807265,18823.0563208255,21613.2244120209
"323",47748.510569749,19907.4030604809,37934.9712994356,18723.7186677529,21911.5444762989
"324",46891.6812726222,20074.4707530139,37704.9451080721,18489.3271612609,22439.4985364166
"325",47506.1177375564,19823.849434239,36795.2869750494,18708.1474207297,22922.4643917116
"326",46867.1494080255,19428.2736887711,36570.0290490082,17861.327929085,22632.2944547824
