"","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days.","rep.0..days."
"126",30960.8065829278,30065.9843795656,30102.6119974467,32977.3380109565,34377.1893477231
"127",30663.9841315811,30078.213419732,30074.2260350106,32718.3472157373,34554.8159782891
"128",30749.5079077955,30032.5275071884,30031.8323764459,32774.8770739095,34545.7246719996
"129",30729.6571193776,30069.9364702589,30078.4164556949,32779.2093010414,34522.275867662
"130",30619.7139913249,30065.2391345774,30186.957908373,32703.9445568759,34450.9222302075
"131",30613.8783447013,30027.6999557856,30111.4952603892,32746.6188636575,34478.1142278416
"132",30656.9914877759,30009.9822757331,30186.774642959,32707.2009629804,34444.9522047924
"133",30699.7478309093,30014.9729020158,30142.8654401424,32676.115551919,34390.8773058588
"134",30649.8123929746,29976.7902765269,30134.8602297431,32680.8696119421,34395.2535045925
"135",30502.3354925998,29972.6342451125,30167.7541045228,32624.3661149885,34390.1632587985
"136",30505.3248326215,29941.7441499841,30198.9759049235,32744.7181599123,34425.137292654
"137",30533.1913060816,29929.5705588037,30161.1393736422,32748.9676146075,34425.9825513964
"138",30534.650477827,29946.9033547836,30127.3679116148,32780.6840473518,34443.644729858
"139",30604.783226116,29983.7022731176,30124.5548029152,32730.2030612824,34419.8699398452
"140",30497.2204181421,29967.4949906895,30094.215089435,32747.7807572445,34387.1262398718
"141",30481.4857729653,29927.9375109757,30122.74666537,32751.3747586072,34373.909979906
"142",30487.6909095753,29914.7431985327,30139.7877657634,32730.6851676621,34368.5136387012
"143",30518.106659925,29939.0432186664,30141.8037425004,32708.6817997646,34385.1897385798
"144",30525.826508555,29934.5666358076,30075.398258131,32699.3802810349,34421.7871204222
"145",30464.2875235393,29922.9210364208,30027.6558657552,32654.7121480739,34479.7040231775
"146",30403.8005509519,29898.5228504785,29969.478511325,32644.7432177827,34498.3886664086
"147",30408.3604922744,29903.6783486367,29973.1606748039,32621.1596254285,34537.010752592
"148",30397.1063493904,29897.8841796771,29951.8362477357,32671.3340197649,34470.7076878192
"149",30391.0863850227,29908.8069004448,29939.6288701588,32702.7826027086,34443.3800181346
"150",30401.390057401,29901.0789757174,29931.1136747106,32676.5136400074,34446.461868189
"151",30383.5953301186,29917.527136169,29965.5561766522,32699.7629665387,34461.8375642174
"152",30379.3648521954,29916.7233704443,29999.7267575641,32688.7307260115,34482.1110907951
"153",30382.263236909,29912.6750632577,30004.2348302548,32620.6600484448,34464.8840293748
"154",30387.7860814521,29899.8211234877,29969.5021472167,32646.0317119728,34435.5434859471
"155",30384.3929979948,29914.660971408,29947.9576384046,32663.2351592804,34418.8810556757
"156",30377.2305103716,29912.4470049456,29925.3641020475,32586.0627913833,34427.6772359821
"157",30366.7412049187,29935.7620588298,29909.4624439706,32600.2823179001,34427.0915735104
"158",30367.974267335,29963.2495112015,29922.7091272158,32623.4011578335,34452.3855647091
"159",30364.3250456668,29952.8953445103,29915.5709508492,32552.4280898241,34425.1513126799
"160",30364.6303746317,29991.5696551018,29890.817724502,32592.1695829277,34429.3717725663
"161",30363.8893091525,30124.465256057,29868.6465280606,32720.9310683717,34420.2826895748
"162",30362.908477142,30086.9977631964,29875.0100672313,32678.4395142171,34396.8474938192
"163",30360.501530401,30280.8074453061,29885.0048480129,32698.9598832295,34368.7435794048
"164",30363.4749731106,30595.3956057599,29877.5980799941,32756.1488456663,34353.6229027637
"165",30366.940712302,30548.9808452696,29899.8727663479,32830.9769295722,34354.6017500874
"166",30361.4274503882,30515.760823068,29899.0724947588,32879.8910856147,34361.2903242281
"167",30360.6490627766,30471.4939286945,29901.2151467329,32955.7397900606,34372.8963499378
"168",30362.6163221868,30300.1830273022,29913.5401292937,32796.9876497704,34389.3639696434
"169",30363.5802425453,30303.7393888556,29912.5338001495,32746.4658255045,34352.8568397499
"170",30360.2646262806,30267.1778763048,29904.7235867294,32799.9201600638,34350.4525779243
"171",30361.2111070579,30173.7368556783,29917.8739141869,32654.9620887416,34359.1253060765
"172",30359.7952347723,30234.8126434662,29934.3994875274,32680.7996685402,34388.120855281
"173",30366.4008775018,30305.9275586593,29957.3347062289,32608.9908414525,34428.1973978012
"174",30363.0382588132,30339.4211975124,29873.5583228146,32646.9375171891,34396.0009128536
"175",30359.2142116146,30361.274176698,29883.6776991827,32709.4409463515,34415.3407816219
"176",30361.2861070729,30538.7144764879,29918.7250255601,32674.1792901011,34404.3446669399
"177",30360.5327504633,30409.9058265179,29877.7778206456,32601.7572674674,34424.4710297033
"178",30363.0352475864,30624.6668411309,29875.073397635,32576.6455407083,34424.3016376133
"179",30361.2548925097,30587.3260019311,29862.3872820331,32537.7353837689,34468.4739819927
"180",30364.3271683506,30662.9900892449,29857.631384574,32504.9103663995,34449.0286638447
"181",30357.1123595819,30765.4209470511,29863.6932207056,32508.0439735905,34454.4954366291
"182",30369.3052762141,30570.9042592209,29870.9964671595,32500.4719344141,34411.1963066305
"183",30369.5198967914,30397.0650475612,29891.8693100564,32500.1264789436,34397.1933614458
"184",30367.2845810339,30371.5843400485,29901.4707743272,32483.4924154475,34401.4296605027
"185",30372.24848663,30298.132592881,29972.3439659347,32498.6724993798,34394.3131272375
"186",30362.0070275916,30103.2685051518,29890.0359926419,32482.1370377757,34446.5896777605
"187",30367.7171375367,29952.082942323,29877.1962971247,32478.2160438775,34424.3338824938
"188",30371.2141013412,29993.6360813741,29871.6739790229,32475.143443034,34393.3478789298
"189",30385.0852518843,30024.8247469202,29895.1889895016,32474.1021328482,34396.0001375249
"190",30396.2881966146,30039.7916130932,29852.9808143148,32473.7012250463,34399.4485088447
"191",30399.3706828172,30172.2825844981,29836.237738779,32478.0791394691,34417.6603228936
"192",30390.8970771636,30040.1184169966,29787.864612005,32476.2423982984,34407.1169846602
"193",30390.0643790895,30252.8694346924,29785.7987097469,32470.4293663638,34354.459270889
"194",30390.5988446707,30482.4671987531,29782.7006793841,32476.5874166396,34345.2833426047
"195",30398.5007761004,30623.1779964292,29777.5947805996,32477.1580663065,34339.1343577042
"196",30399.317968194,30665.4709260056,29774.1093629625,32468.0627824828,34332.9895367636
"197",30397.047833038,30590.1014096396,29781.6951257335,32467.1121024845,34341.8411057205
"198",30394.4861596013,30724.4897849916,29777.3395361428,32467.9723489134,34350.8441448865
"199",30404.1750318098,30842.8411584951,29763.0438367768,32466.9577432707,34343.1093476947
"200",30412.4512896592,30710.0674855474,29762.783625446,32468.7174614613,34333.7532289779
"201",30416.2256771482,30783.5019817655,29759.4433215467,32476.3670542575,34332.736706301
"202",30416.1541380335,30804.0907462194,29762.6252707916,32467.5538198756,34337.0966309862
"203",30413.414735346,30876.089802041,29758.6197735468,32464.5920497819,34345.2193975545
"204",30412.2013376627,30906.0472701241,29809.004621519,32468.4183170643,34339.7813739246
"205",30410.863227758,31214.4677766345,29791.1107725774,32465.042524259,34334.4469865144
"206",30401.0694072758,31180.3078182773,29756.9529217899,32464.1780887299,34332.207931356
"207",30403.6242642742,30941.7199187725,29780.9333221856,32461.6030393482,34336.8751019666
"208",30405.2785651582,31190.7401378158,29807.3397175135,32465.4206906573,34340.1528794274
"209",30394.5174953491,31103.1919267052,29830.0413107787,32470.6482800976,34339.1415596921
"210",30408.9036843599,30765.8251469505,29820.1710809784,32467.0091898739,34337.4533461227
"211",30402.203792613,30599.6470386807,29843.8473706638,32465.0885700858,34341.5071170307
"212",30411.0641577184,30715.6913843449,29809.3872084776,32463.7936284061,34355.1646818323
"213",30409.7277429194,30589.4495461489,29839.9153521081,32461.9302079994,34354.6852523447
"214",30423.3446402709,30702.072638057,29871.0294878706,32461.7018746105,34348.7771196046
"215",30420.0515854207,30470.9417929363,29929.0365789307,32460.8784424178,34353.1965357885
"216",30430.7645131514,30678.9204585799,29900.6551548729,32461.5756352968,34360.9625249969
"217",30431.0600103945,30500.1715367212,29858.5741260715,32461.477910504,34348.0070378949
"218",30430.7237069649,30740.137185686,29919.2585872986,32463.2168616431,34338.5928487123
"219",30427.5006216985,30640.2828517898,29994.4873751443,32464.9057745618,34336.9249269984
"220",30431.968655046,30465.7017533124,30020.2674373321,32463.5342275159,34336.7891652117
"221",30425.7126947705,30520.9168688842,30042.8469297539,32463.2603861239,34338.0252763221
"222",30434.3919880695,30832.4938750507,30033.0923335867,32461.1735687092,34338.3674975181
"223",30443.2585581316,30642.7468290005,29981.2690951285,32460.8860211575,34340.016168742
"224",30453.841529603,30449.4931820836,29935.3330676075,32463.3259930935,34344.7823265159
"225",30460.0214054827,30133.5287633477,29912.3211546222,32462.2109332964,34343.1390533547
